iter	Passed	Remaining
0	3	323
1	7	373
2	11	384
3	15	361
4	18	360
5	22	357
6	25	339
7	28	333
8	32	325
9	35	316
10	40	327
11	44	328
12	48	325
13	52	324
14	55	314
15	58	304
16	60	296
17	64	292
18	67	287
19	70	283
20	74	278
21	77	276
22	81	273
23	85	269
24	88	265
25	91	259
26	95	257
27	97	251
28	101	247
29	104	244
30	107	240
31	111	237
32	114	232
33	117	228
34	121	225
35	125	223
36	128	219
37	131	214
38	134	211
39	138	207
40	141	204
41	142	197
42	146	193
43	149	189
44	152	186
45	155	182
46	157	177
47	160	173
48	163	170
49	166	166
50	169	163
51	173	159
52	175	155
53	178	152
54	180	147
55	183	143
56	185	140
57	188	136
58	191	132
59	194	129
60	196	125
61	200	122
62	202	119
63	205	115
64	209	112
65	212	109
66	214	105
67	217	102
68	220	99
69	224	96
70	227	93
71	231	89
72	234	86
73	238	83
74	241	80
75	245	77
76	248	74
77	251	70
78	256	68
79	260	65
80	263	61
81	266	58
82	269	55
83	273	52
84	276	48
85	279	45
86	283	42
87	286	39
88	290	35
89	294	32
90	298	29
91	301	26
92	304	22
93	308	19
94	311	16
95	316	13
96	319	9
97	323	6
98	326	3
99	329	0
